Timestamp,IMU1_Roll,IMU1_Pitch,IMU1_Yaw,IMU1_AccX,IMU1_AccY,IMU1_AccZ,IMU1_GyroX,IMU1_GyroY,IMU1_GyroZ,IMU2_Roll,IMU2_Pitch,IMU2_Yaw,IMU2_AccX,IMU2_AccY,IMU2_AccZ,IMU2_GyroX,IMU2_GyroY,IMU2_GyroZ
1782855264.9940672,1.52,1.17,-67.27,-0.19,0.26,9.77,0.06,0.35,0.13,-0.51,-0.36,-48.07,0.06,-0.07,9.8,0.08,-0.16,-0.13
1782855265.0679212,1.52,1.17,-67.27,-0.18,0.26,9.77,0.06,0.36,0.14,-0.51,-0.36,-48.07,0.05,-0.07,9.8,0.1,-0.19,-0.15
1782855265.141994,1.52,1.17,-67.28,-0.19,0.26,9.78,0.1,0.36,0.13,-0.51,-0.35,-48.08,0.05,-0.08,9.79,0.07,-0.17,-0.13
1782855265.2161396,1.52,1.17,-67.28,-0.19,0.26,9.77,0.07,0.38,0.15,-0.51,-0.35,-48.08,0.05,-0.08,9.79,0.13,-0.2,-0.12
1782855265.2905188,1.52,1.17,-67.29,-0.19,0.26,9.77,0.07,0.35,0.13,-0.51,-0.35,-48.08,0.05,-0.08,9.8,0.11,-0.17,-0.15
1782855265.36425,1.52,1.17,-67.3,-0.19,0.26,9.77,0.07,0.37,0.12,-0.51,-0.35,-48.08,0.06,-0.08,9.79,0.08,-0.18,-0.1
1782855265.4379113,1.52,1.17,-67.3,-0.19,0.26,9.77,0.08,0.39,0.13,-0.51,-0.35,-48.08,0.05,-0.07,9.8,0.08,-0.16,-0.17
1782855265.51225,1.52,1.17,-67.31,-0.18,0.26,9.77,0.1,0.35,0.12,-0.51,-0.35,-48.08,0.06,-0.07,9.79,0.08,-0.17,-0.12
1782855265.5865352,1.52,1.17,-67.31,-0.18,0.26,9.78,0.08,0.39,0.13,-0.51,-0.35,-48.08,0.05,-0.07,9.8,0.08,-0.19,-0.15
1782855265.659906,1.52,1.17,-67.32,-0.19,0.26,9.77,0.1,0.36,0.13,-0.51,-0.35,-48.08,0.05,-0.08,9.8,0.06,-0.16,-0.12
1782855265.733856,1.52,1.17,-67.32,-0.18,0.26,9.77,0.1,0.39,0.15,-0.51,-0.35,-48.09,0.05,-0.07,9.79,0.08,-0.19,-0.11
1782855265.8078992,1.52,1.17,-67.33,-0.18,0.27,9.77,0.08,0.38,0.14,-0.51,-0.35,-48.09,0.05,-0.08,9.8,0.07,-0.19,-0.11
1782855265.8818529,1.52,1.17,-67.33,-0.19,0.26,9.77,0.1,0.36,0.1,-0.51,-0.35,-48.09,0.06,-0.08,9.79,0.11,-0.18,-0.11
1782855265.9558873,1.52,1.17,-67.34,-0.19,0.26,9.77,0.09,0.36,0.12,-0.51,-0.35,-48.09,0.06,-0.07,9.8,0.1,-0.19,-0.1
1782855266.0299587,1.52,1.17,-67.34,-0.19,0.25,9.77,0.09,0.37,0.13,-0.51,-0.35,-48.09,0.05,-0.08,9.79,0.09,-0.19,-0.13
1782855266.10434,1.52,1.17,-67.35,-0.19,0.27,9.77,0.08,0.36,0.09,-0.51,-0.35,-48.09,0.05,-0.08,9.8,0.07,-0.2,-0.14
1782855266.1782444,1.52,1.17,-67.35,-0.19,0.26,9.77,0.05,0.36,0.13,-0.51,-0.35,-48.09,0.06,-0.08,9.8,0.1,-0.18,-0.11
1782855266.251954,1.52,1.17,-67.36,-0.19,0.26,9.77,0.07,0.37,0.12,-0.51,-0.35,-48.1,0.06,-0.08,9.8,0.08,-0.19,-0.15
1782855266.3260002,1.52,1.17,-67.37,-0.19,0.26,9.77,0.09,0.37,0.1,-0.51,-0.35,-48.1,0.06,-0.08,9.8,0.08,-0.18,-0.1
1782855266.400248,1.52,1.17,-67.37,-0.19,0.26,9.77,0.07,0.36,0.11,-0.51,-0.35,-48.1,0.05,-0.08,9.79,0.1,-0.19,-0.14
1782855266.4738858,1.52,1.17,-67.38,-0.19,0.26,9.77,0.06,0.36,0.14,-0.5,-0.35,-48.1,0.05,-0.08,9.8,0.12,-0.2,-0.11
1782855266.5479937,1.53,1.17,-67.38,-0.19,0.25,9.77,0.09,0.37,0.13,-0.5,-0.35,-48.1,0.06,-0.08,9.8,0.11,-0.21,-0.1
1782855266.6219144,1.53,1.17,-67.39,-0.2,0.26,9.77,0.14,0.36,0.12,-0.5,-0.35,-48.1,0.05,-0.07,9.8,0.08,-0.18,-0.14
1782855266.6963654,1.52,1.17,-67.39,-0.19,0.26,9.76,0.06,0.34,0.12,-0.51,-0.35,-48.1,0.05,-0.07,9.8,0.06,-0.19,-0.12
1782855266.7698824,1.53,1.17,-67.4,-0.19,0.26,9.77,0.08,0.38,0.13,-0.5,-0.35,-48.1,0.05,-0.08,9.8,0.1,-0.16,-0.1
1782855266.8439262,1.53,1.17,-67.4,-0.19,0.27,9.77,0.1,0.37,0.12,-0.5,-0.35,-48.1,0.05,-0.07,9.79,0.09,-0.18,-0.12
1782855266.9183292,1.52,1.17,-67.41,-0.19,0.26,9.76,0.08,0.35,0.15,-0.5,-0.35,-48.11,0.05,-0.07,9.8,0.07,-0.18,-0.14
1782855266.9919941,1.53,1.17,-67.41,-0.19,0.26,9.77,0.07,0.35,0.14,-0.5,-0.35,-48.11,0.05,-0.07,9.79,0.13,-0.18,-0.14
1782855267.0658906,1.52,1.17,-67.42,-0.19,0.26,9.78,0.05,0.38,0.13,-0.51,-0.35,-48.11,0.05,-0.08,9.79,0.09,-0.19,-0.12
1782855267.1399245,1.52,1.17,-67.42,-0.19,0.27,9.77,0.07,0.38,0.15,-0.51,-0.35,-48.11,0.05,-0.07,9.79,0.11,-0.17,-0.11
1782855267.2139144,1.53,1.17,-67.43,-0.18,0.25,9.77,0.1,0.35,0.13,-0.51,-0.35,-48.11,0.06,-0.08,9.79,0.1,-0.15,-0.11
1782855267.2879834,1.53,1.17,-67.43,-0.19,0.26,9.77,0.09,0.37,0.12,-0.51,-0.35,-48.11,0.05,-0.08,9.8,0.07,-0.21,-0.13
1782855267.362405,1.53,1.17,-67.44,-0.19,0.25,9.77,0.07,0.39,0.14,-0.51,-0.35,-48.11,0.06,-0.08,9.8,0.11,-0.19,-0.15
1782855267.4359176,1.52,1.17,-67.44,-0.19,0.26,9.77,0.07,0.35,0.13,-0.51,-0.35,-48.11,0.05,-0.08,9.8,0.13,-0.2,-0.13
1782855267.5103629,1.53,1.17,-67.45,-0.19,0.26,9.77,0.08,0.37,0.16,-0.51,-0.35,-48.11,0.06,-0.09,9.8,0.07,-0.18,-0.12
1782855267.583914,1.52,1.17,-67.45,-0.19,0.25,9.76,0.06,0.35,0.17,-0.51,-0.35,-48.12,0.05,-0.08,9.8,0.1,-0.16,-0.15
1782855267.6583288,1.52,1.17,-67.46,-0.19,0.25,9.77,0.06,0.36,0.15,-0.51,-0.35,-48.12,0.05,-0.08,9.8,0.09,-0.17,-0.15
1782855267.7319233,1.52,1.17,-67.46,-0.18,0.26,9.77,0.07,0.37,0.12,-0.51,-0.35,-48.12,0.05,-0.08,9.8,0.11,-0.19,-0.12
