Timestamp,Relative_Time,IMU1_Pitch,IMU2_Pitch,Difference
1782863335.1230464,0.0022430419921875,89.3,89.57,-0.269999999999996
1782863335.123881,0.0030777454376220703,89.32,89.57,-0.25
1782863335.1246953,0.0038919448852539062,89.29,89.57,-0.2799999999999869
1782863335.1254995,0.0046961307525634766,89.34,89.57,-0.22999999999998977
1782863335.1264665,0.005663156509399414,89.34,-0.3,89.64
1782863335.127276,0.006472587585449219,0.54,-0.3,0.8400000000000001
1782863335.128087,0.007283687591552734,0.54,-0.3,0.8400000000000001
1782863335.1289065,0.008103132247924805,0.54,-0.3,0.8400000000000001
1782863335.129718,0.008914709091186523,0.54,-0.3,0.8400000000000001
1782863335.1305285,0.009725093841552734,0.54,-0.3,0.8400000000000001
1782863335.1313386,0.010535240173339844,0.54,-0.3,0.8400000000000001
1782863335.1321597,0.011356353759765625,0.54,-0.3,0.8400000000000001
1782863335.1329758,0.012172460556030273,0.54,-0.3,0.8400000000000001
1782863335.1353612,0.014557838439941406,0.54,-0.3,0.8400000000000001
1782863335.140263,0.01945972442626953,0.54,-0.3,0.8400000000000001
1782863335.1448221,0.02401876449584961,0.54,-0.3,0.8400000000000001
1782863335.149216,0.028412580490112305,0.51,-0.31,0.8200000000000001
1782863335.153295,0.03249168395996094,0.54,-0.3,0.8400000000000001
1782863335.1593137,0.03851032257080078,0.54,-0.3,0.8400000000000001
1782863335.2278788,0.10707545280456543,0.54,-0.3,0.8400000000000001
1782863335.3019273,0.18112397193908691,0.54,-0.3,0.8400000000000001
1782863335.37622,0.2554166316986084,0.54,-0.3,0.8400000000000001
1782863335.4504142,0.32961082458496094,0.54,-0.3,0.8400000000000001
1782863335.523843,0.40303969383239746,0.54,-0.3,0.8400000000000001
1782863335.5984762,0.477672815322876,0.54,-0.3,0.8400000000000001
1782863335.6719432,0.5511398315429688,0.54,-0.3,0.8400000000000001
1782863335.7458465,0.6250431537628174,0.54,-0.3,0.8400000000000001
1782863335.8198392,0.6990358829498291,0.54,-0.3,0.8400000000000001
1782863335.8938196,0.7730162143707275,0.53,-0.3,0.8300000000000001
1782863335.9678197,0.8470163345336914,0.52,-0.31,0.8300000000000001
1782863336.0419896,0.9211862087249756,0.52,-0.3,0.8200000000000001
1782863336.116409,0.9956057071685791,0.52,-0.32,0.8400000000000001
1782863336.190788,1.0699846744537354,0.53,-0.31,0.8400000000000001
1782863336.2638652,1.143061876296997,0.52,-0.32,0.8400000000000001
1782863336.3378196,1.2170162200927734,0.52,-0.32,0.8400000000000001
1782863336.4127128,1.2919094562530518,0.51,-0.33,0.8400000000000001
1782863336.485946,1.365142583847046,0.51,-0.33,0.8400000000000001
1782863336.56071,1.4399065971374512,0.51,-0.32,0.8300000000000001
1782863336.6338942,1.5130908489227295,0.5,-0.33,0.8300000000000001
1782863336.7078414,1.5870380401611328,0.51,-0.33,0.8400000000000001
1782863336.782404,1.6616005897521973,0.53,-0.32,0.8500000000000001
1782863336.8558488,1.7350454330444336,0.54,-0.31,0.8500000000000001
1782863336.9299467,1.809143304824829,0.65,-0.22,0.87
1782863337.0038192,1.8830158710479736,2.89,2.68,0.20999999999999996
1782863337.0783913,1.9575879573822021,7.8,7.12,0.6799999999999997
1782863337.151843,2.0310397148132324,14.18,14.65,-0.47000000000000064
1782863337.2258458,2.1050424575805664,22.23,22.93,-0.6999999999999993
1782863337.3006203,2.179816961288452,31.72,31.22,0.5
1782863337.3743796,2.2535762786865234,39.43,39.96,-0.5300000000000011
1782863337.4479425,2.327139139175415,47.41,46.81,0.5999999999999943
1782863337.5219355,2.401132106781006,52.71,52.73,-0.01999999999999602
1782863337.5959377,2.4751343727111816,56.44,56.21,0.22999999999999687
1782863337.670017,2.5492136478424072,59.9,59.19,0.7100000000000009
1782863337.743876,2.623072624206543,62.65,62.23,0.4200000000000017
1782863337.8179061,2.6971027851104736,65.67,64.96,0.710000000000008
1782863337.8923852,2.7715818881988525,68.32,67.61,0.7099999999999937
1782863337.9658434,2.8450400829315186,70.61,70.25,0.35999999999999943
1782863338.0398977,2.9190943241119385,73.28,72.57,0.710000000000008
1782863338.113856,2.9930527210235596,75.09,74.61,0.480000000000004
1782863338.1878865,3.0670831203460693,76.62,75.88,0.7400000000000091
1782863338.2619493,3.141145944595337,77.61,77.01,0.5999999999999943
1782863338.3358438,3.215040445327759,78.72,78.24,0.480000000000004
1782863338.4103775,3.289574146270752,80.2,79.51,0.6899999999999977
1782863338.484422,3.3636186122894287,81.44,80.98,0.45999999999999375
1782863338.5578272,3.437023878097534,82.72,82.05,0.6700000000000017
1782863338.6319535,3.5111501216888428,83.71,83.09,0.6199999999999903
1782863338.705971,3.585167646408081,84.11,83.45,0.6599999999999966
1782863338.7806487,3.6598453521728516,84.17,83.49,0.6800000000000068
1782863338.8538427,3.733039379119873,84.19,83.51,0.6799999999999926
1782863338.9279068,3.807103395462036,84.34,83.69,0.6500000000000057
1782863339.0024695,3.8816661834716797,84.98,84.49,0.4900000000000091
1782863339.0763814,3.955578088760376,85.82,85.33,0.4899999999999949
1782863339.149955,4.029151678085327,86.17,85.57,0.6000000000000085
1782863339.2240524,4.1032490730285645,86.2,85.58,0.6200000000000045
1782863339.297849,4.177045583724976,86.54,85.95,0.5900000000000034
1782863339.372746,4.2519426345825195,86.97,86.47,0.5
1782863339.4459426,4.325139284133911,87.41,86.93,0.47999999999998977
1782863339.519823,4.399019718170166,87.64,87.09,0.5499999999999972
1782863339.5939283,4.473124980926514,87.87,87.36,0.5100000000000051
1782863339.6685214,4.547718048095703,88.15,87.61,0.5400000000000063
1782863339.7421198,4.621316432952881,88.36,87.92,0.4399999999999977
1782863339.8159595,4.695156097412109,88.37,87.9,0.46999999999999886
1782863339.8899457,4.769142389297485,88.35,87.9,0.44999999999998863
1782863339.9638586,4.843055248260498,88.36,87.91,0.45000000000000284
1782863340.0379767,4.917173385620117,88.34,87.91,0.4300000000000068
1782863340.1122227,4.991419315338135,88.5,88.16,0.3400000000000034
1782863340.1858993,5.065095901489258,88.88,88.62,0.2599999999999909
1782863340.2602596,5.139456272125244,89.2,88.94,0.2600000000000051
1782863340.333928,5.213124752044678,89.17,88.89,0.28000000000000114
1782863340.408024,5.28722071647644,89.06,88.89,0.1700000000000017
1782863340.4825013,5.3616979122161865,89.1,88.89,0.20999999999999375
1782863340.5558312,5.435027837753296,89.12,88.88,0.2400000000000091
1782863340.6303647,5.50956130027771,89.09,88.84,0.25
1782863340.7044027,5.583599328994751,89.07,88.85,0.21999999999999886
1782863340.7779799,5.657176494598389,89.14,88.82,0.3200000000000074
1782863340.852492,5.731688737869263,89.09,88.78,0.3100000000000023
1782863340.9271595,5.806356191635132,88.39,87.74,0.6500000000000057
1782863341.0000792,5.879275798797607,84.82,84.26,0.5599999999999881
1782863341.075369,5.954565525054932,78.68,76.87,1.8100000000000023
1782863341.1491416,6.028338193893433,69.47,68.68,0.789999999999992
1782863341.222904,6.102100610733032,59.6,57.06,2.539999999999999
1782863341.2972,6.176396608352661,48.12,45.52,2.5999999999999943
1782863341.3711655,6.250362157821655,34.2,33.28,0.9200000000000017
1782863341.4452007,6.324397325515747,21.79,18.98,2.8099999999999987
1782863341.5191772,6.39837384223938,8.97,8.15,0.8200000000000003
1782863341.5922394,6.471436023712158,0.35,-0.74,1.0899999999999999
1782863341.6658278,6.545024394989014,-0.1,-0.47,0.37
1782863341.7398956,6.619092226028442,-0.08,-0.46,0.38
1782863341.8141959,6.693392515182495,-0.12,-0.45,0.33
1782863341.888029,6.767225742340088,-0.13,-0.44,0.31
1782863341.9618485,6.841045141220093,-0.15,-0.44,0.29000000000000004
1782863342.0367405,6.915937185287476,-0.14,-0.42,0.27999999999999997
1782863342.1098933,6.9890899658203125,-0.13,-0.42,0.29
1782863342.1843402,7.063536882400513,-0.12,-0.43,0.31
1782863342.2578924,7.137089014053345,-0.06,-0.42,0.36
1782863342.3318286,7.211025238037109,0.9,0.85,0.050000000000000044
1782863342.4058251,7.285021781921387,4.02,4.52,-0.5
1782863342.4802334,7.3594300746917725,11.68,11.62,0.0600000000000005
1782863342.5545654,7.433762073516846,20.48,21.77,-1.2899999999999991
1782863342.6286054,7.5078020095825195,32.5,32.56,-0.060000000000002274
1782863342.7027435,7.581940174102783,43.63,45.26,-1.6299999999999955
1782863342.775849,7.655045747756958,54.09,55.35,-1.259999999999998
1782863342.8498826,7.729079246520996,63.26,63.22,0.03999999999999915
1782863342.9243963,7.803592920303345,68.93,69.4,-0.46999999999999886
1782863342.9978259,7.8770225048065186,72.71,72.48,0.22999999999998977
1782863343.0719318,7.9511284828186035,74.6,74.53,0.06999999999999318
1782863343.1462116,8.025408267974854,76.07,76.01,0.05999999999998806
1782863343.220534,8.099730730056763,77.65,77.4,0.25
1782863343.293879,8.173075675964355,79.05,79.07,-0.01999999999999602
1782863343.368161,8.247357606887817,80.64,80.41,0.23000000000000398
1782863343.4419794,8.321176052093506,81.96,81.83,0.12999999999999545
1782863343.5159507,8.395147323608398,82.58,82.4,0.1799999999999926
1782863343.5900025,8.469199180603027,83.5,83.27,0.23000000000000398
1782863343.6638317,8.543028354644775,84.8,84.77,0.030000000000001137
1782863343.7388809,8.618077516555786,86.26,86.08,0.18000000000000682
1782863343.8129973,8.692193984985352,87.19,87.2,-0.010000000000005116
1782863343.8867848,8.765981435775757,87.74,87.71,0.030000000000001137
1782863343.9608498,8.840046405792236,87.83,87.73,0.09999999999999432
